Core Temperatures (avg) [°C],CPU Core [°C],CPU Package Power [W],Total CPU Utility [%],GPU Temperature [°C],GPU Hot Spot Temperature [°C],GPU Power [W],GPU Utilization [%],GPU Memory Usage [%],Physical Memory Load [%],Virtual Memory Load [%],Charge Level [%],Wear Level [%],GPU Bus Load [%],Framerate Displayed (avg) [FPS],Frame Time Presented (avg) [ms]
44.0,45.0,9.304,4.9,44.3,47.9,16.128,0,17.1,29.6,40.8,97,9,0,83.4,11.47
44.0,45.6,9.54,5.5,44.3,48.1,16.13,0,17.1,29.6,40.7,97,9,0,84.1,11.38
43.8,44.8,8.339,4.8,44.3,47.9,16.0,0,17.1,29.6,40.8,97,9,0,24.0,41.71
43.3,44.2,7.259,3.1,44.2,47.7,16.283,0,17.3,29.6,40.8,97,9,0,8.1,124.24
43.1,44.1,6.958,2.9,44.0,48.0,15.925,0,17.3,29.6,40.8,97,9,0,8.1,124.24
42.9,44.0,6.578,2.6,43.9,47.7,15.855,0,17.3,29.6,40.8,97,9,0,8.1,124.24
42.8,43.9,6.588,2.5,43.8,47.6,15.958,0,17.3,29.5,40.7,97,9,0,8.2,123.09
42.6,43.6,6.322,2.1,43.7,47.7,16.013,0,17.3,29.5,40.7,97,9,0,8.2,123.09
43.1,44.4,8.685,4.6,43.6,49.5,33.725,0,17.1,29.5,40.7,97,9,0,10.3,96.88
43.1,44.3,8.311,4.0,43.7,48.4,26.286,0,16.7,29.5,40.6,97,9,0,35.8,27.63
43.5,44.8,9.102,5.7,43.8,48.1,18.775,0,16.7,29.5,40.6,97,9,0,113.1,8.86
43.4,44.6,8.284,4.7,43.9,47.9,19.388,0,16.8,29.5,40.5,97,9,0,131.7,7.58
43.7,45.1,9.387,7.2,43.9,48.2,18.961,0,17.5,29.5,40.6,97,9,0,162.5,6.13
43.1,44.1,7.235,3.3,43.9,47.8,18.494,0,17.5,29.5,40.7,97,9,0,76.5,13.18
42.8,43.7,6.646,2.6,43.8,47.5,15.679,0,17.5,29.4,40.6,97,9,0,76.5,13.18
42.7,43.6,6.483,2.2,43.7,47.8,15.851,0,17.5,29.4,40.6,97,9,0,76.5,13.18
42.6,43.5,6.455,2.3,43.6,47.5,15.948,0,17.5,29.4,40.6,97,9,0,76.5,13.18
42.5,43.4,6.287,2.2,43.5,47.4,15.813,0,16.9,29.4,40.6,97,9,0,76.5,13.18
42.5,43.4,6.401,2.2,43.4,47.5,15.895,0,16.9,29.4,40.4,97,9,0,76.5,13.18
42.5,43.5,6.57,2.4,43.4,47.3,15.919,0,16.9,29.4,40.4,97,9,0,76.5,13.18
42.4,43.3,6.493,2.4,43.3,47.2,15.741,0,16.9,29.4,40.4,97,9,0,76.5,13.18
42.4,43.3,6.394,2.3,43.3,47.3,15.7,0,16.9,29.4,40.4,97,9,0,76.5,13.18
42.3,43.2,6.386,2.3,43.2,47.1,15.867,0,16.9,29.4,40.4,97,9,0,76.5,13.18
42.2,43.2,6.159,2.3,43.2,47.0,15.935,0,16.9,29.4,40.4,97,9,0,76.5,13.18
42.2,43.1,6.547,2.5,43.1,47.2,15.681,0,16.9,29.4,40.4,97,9,0,76.5,13.18
42.1,43.1,6.021,2.4,43.1,47.0,15.745,0,16.9,29.4,40.4,97,9,0,76.6,13.07
41.9,43.0,5.205,2.3,43.0,46.8,15.704,0,16.9,29.4,40.4,97,9,0,76.6,13.07
41.7,42.7,4.821,2.3,42.8,47.0,15.649,0,16.9,29.4,40.4,97,9,0,76.6,13.07
41.6,42.7,4.745,2.3,42.7,46.8,15.655,0,16.9,29.4,40.4,97,9,0,76.6,13.07
41.6,42.6,5.264,2.3,42.6,46.6,15.678,0,16.9,29.4,40.4,97,9,0,76.6,13.07
41.5,42.6,5.246,2.3,42.5,46.8,15.625,0,16.9,29.4,40.4,97,9,0,76.6,13.07
41.6,42.6,5.971,2.2,42.5,46.6,15.634,0,16.9,29.4,40.4,97,9,0,76.6,13.07
41.5,42.5,5.871,2.2,42.5,46.5,15.91,0,16.9,29.4,40.4,97,9,0,76.6,13.07
41.4,42.4,5.321,2.2,42.5,46.7,15.828,0,16.9,29.4,40.4,97,9,0,76.6,13.07
41.4,42.5,5.716,2.3,42.4,46.5,15.453,0,16.9,29.4,40.4,97,9,0,76.6,13.07
41.4,42.4,5.474,2.1,42.4,46.3,15.439,0,16.9,29.3,40.4,97,9,0,76.6,13.07
41.4,42.4,5.462,2.4,42.4,46.5,15.566,0,16.9,29.4,40.4,97,9,0,2.4,13.05
41.3,42.3,5.406,2.2,42.3,46.4,15.375,0,16.9,29.4,40.4,97,9,0,2.4,13.05
41.2,42.3,5.056,2.3,42.2,46.3,15.465,0,16.9,29.3,40.4,97,9,0,2.4,13.05
41.2,42.3,5.715,2.3,42.1,46.5,15.558,0,16.9,29.3,40.4,97,9,1,2.4,13.05
41.2,42.2,6.041,2.4,42.1,46.3,15.447,0,16.9,29.3,40.4,97,9,0,2.4,13.05
41.1,42.1,5.195,2.2,42.2,46.1,15.458,0,16.9,29.3,40.4,97,9,0,2.4,13.05
41.1,42.2,5.789,2.2,42.1,46.3,15.489,0,16.9,29.3,40.4,97,9,0,2.4,13.05
41.1,42.2,5.553,2.3,42.1,46.1,15.46,0,16.9,29.3,40.4,97,9,0,2.4,13.05
41.0,42.1,5.082,2.2,42.1,46.0,15.516,0,16.9,29.3,40.4,97,9,0,2.4,13.05
41.1,42.2,5.423,2.8,42.0,46.1,15.714,0,16.9,29.3,40.4,97,9,1,2.4,13.05
42.0,43.4,8.451,9.6,42.0,46.1,15.728,0,17.2,29.4,40.5,97,9,1,1.8,364.74
41.6,43.0,7.194,3.9,42.2,46.2,16.303,0,17.2,29.4,40.5,97,9,0,4.6,221.64
42.0,43.5,8.588,6.9,42.3,46.3,18.563,0,17.2,29.3,40.5,97,9,0,41.5,24.39
42.6,44.3,10.413,9.2,42.4,46.3,20.371,0,18.0,29.3,40.6,97,9,1,124.8,8.04
41.7,42.9,7.283,3.8,42.6,46.2,17.14,0,18.0,29.3,40.6,97,9,1,22.7,7.98
42.0,43.4,8.263,5.3,42.4,46.2,18.393,0,17.2,29.3,40.6,97,9,0,91.5,11.02
41.6,42.8,6.908,3.3,42.5,46.1,16.16,0,17.1,29.2,40.4,97,9,0,36.8,20.09
42.0,43.6,8.537,6.2,42.3,46.3,17.669,0,17.1,29.3,40.4,97,9,0,47.9,21.03
42.2,44.2,8.196,5.9,42.4,46.2,15.927,0,17.1,29.3,40.4,97,9,0,37.6,26.84
42.5,44.9,9.546,6.9,42.4,46.1,17.156,0,17.1,29.3,40.4,97,9,1,35.6,23.57
41.5,42.7,5.651,3.2,42.6,46.2,15.715,0,17.1,29.2,40.4,97,9,0,38.8,26.03
41.5,43.0,6.853,4.9,42.3,46.0,16.018,0,17.1,29.4,40.5,97,9,0,16.9,59.63
46.3,50.3,20.245,15.8,42.2,47.9,36.324,0,17.6,29.7,41.2,97,9,0,78.7,12.68
42.3,43.6,7.485,5.5,44.0,47.2,31.277,0,17.9,29.7,41.1,97,9,0,50.6,19.76
41.9,43.3,7.2,4.6,42.9,46.8,18.824,0,18.6,29.7,41.2,97,9,3,27.1,37.31
42.1,44.4,7.451,4.9,42.5,46.7,16.068,0,18.7,29.6,41.2,97,9,0,27.2,36.89
41.3,42.4,4.451,2.2,42.6,46.4,15.938,0,18.7,29.6,41.2,97,9,0,10.2,36.58
42.2,45.1,7.867,4.5,42.3,46.3,16.006,0,18.6,29.6,41.2,97,9,0,10.2,36.58
41.2,42.3,4.648,2.3,42.4,46.4,15.802,0,18.6,29.6,41.2,97,9,0,6.2,96.45
41.1,42.2,4.701,2.4,42.2,46.2,15.913,0,18.6,29.6,41.2,97,9,0,6.2,96.45
41.4,42.7,6.554,4.0,42.1,46.4,17.681,0,18.8,29.7,41.3,97,9,5,8.3,122.63
41.3,42.5,5.517,3.0,42.1,46.2,17.474,0,19.0,29.7,41.3,97,9,0,10.1,100.19
41.4,42.7,6.339,4.0,42.1,46.6,16.195,0,18.4,29.7,41.3,97,9,7,11.1,91.35
